id,time,outerdevice_id,outerdevice_parameter_id,value,create_at,create_user,elec
41409903,9:00:00 PM,1370,21,1825377.12,0.023983796,DeviceDataService,113.12
41410096,10:00:00 PM,1370,21,1825488.75,0.023983796,DeviceDataService,111.63
41410289,11:00:00 PM,1370,21,1825588.75,0.023983796,DeviceDataService,100
41410496,12:00:00 AM,1370,21,1825675.62,0.024061343,DeviceDataService,86.87
41410689,1:00:00 AM,1370,21,1825761.12,0.024061343,DeviceDataService,85.5
41410882,2:00:00 AM,1370,21,1825846.38,0.024061343,DeviceDataService,85.26
41411075,3:00:00 AM,1370,21,1825931.62,0.024061343,DeviceDataService,85.24
41411268,4:00:00 AM,1370,21,1826016,0.024061343,DeviceDataService,84.38
41411461,5:00:00 AM,1370,21,1826100,0.024061343,DeviceDataService,84
41411654,6:00:00 AM,1370,21,1826185.62,0.024061343,DeviceDataService,85.62
41411847,7:00:00 AM,1370,21,1826278.75,0.024061343,DeviceDataService,93.13
41412040,8:00:00 AM,1370,21,1826376.88,0.024061343,DeviceDataService,98.13
41412233,9:00:00 AM,1370,21,1826476.75,0.024061343,DeviceDataService,99.87
41412426,10:00:00 AM,1370,21,1826584.88,0.024061343,DeviceDataService,108.13
41412619,11:00:00 AM,1370,21,1826698.38,0.024061343,DeviceDataService,113.5
41412812,12:00:00 PM,1370,21,1826814.88,0.024061343,DeviceDataService,116.5
41413005,1:00:00 PM,1370,21,1826936.12,0.024061343,DeviceDataService,121.24
41413198,2:00:00 PM,1370,21,1827059.62,0.024061343,DeviceDataService,123.5
41413391,3:00:00 PM,1370,21,1827184.38,0.024061343,DeviceDataService,124.76
41413584,4:00:00 PM,1370,21,1827308.75,0.024061343,DeviceDataService,124.37
41413777,5:00:00 PM,1370,21,1827432.88,0.024061343,DeviceDataService,124.13
41413970,6:00:00 PM,1370,21,1827556.38,0.024061343,DeviceDataService,123.5
41414163,7:00:00 PM,1370,21,1827677.62,0.024061343,DeviceDataService,121.24
41414356,8:00:00 PM,1370,21,1827785.25,0.024061343,DeviceDataService,107.63
41414549,9:00:00 PM,1370,21,1827890.38,0.024061343,DeviceDataService,105.13
41414742,10:00:00 PM,1370,21,1827992.5,0.024061343,DeviceDataService,102.12
41414935,11:00:00 PM,1370,21,1828086.38,0.024061343,DeviceDataService,93.88
41415086,12:00:00 AM,1370,21,1828171.25,0.024131944,DeviceDataService,84.87
41415279,1:00:00 AM,1370,21,1828254.5,0.024131944,DeviceDataService,83.25
41415472,2:00:00 AM,1370,21,1828337.12,0.024131944,DeviceDataService,82.62
41415665,3:00:00 AM,1370,21,1828420,0.024131944,DeviceDataService,82.88
41415858,4:00:00 AM,1370,21,1828506.38,0.024131944,DeviceDataService,86.38
41416051,5:00:00 AM,1370,21,1828604,0.024131944,DeviceDataService,97.62
41416244,6:00:00 AM,1370,21,1828712.5,0.024131944,DeviceDataService,108.5
41416437,7:00:00 AM,1370,21,1828839.88,0.024131944,DeviceDataService,127.38
41416630,8:00:00 AM,1370,21,1829009.12,0.024131944,DeviceDataService,169.24
41416823,9:00:00 AM,1370,21,1829253.62,0.024131944,DeviceDataService,244.5
41417016,10:00:00 AM,1370,21,1829528.12,0.024131944,DeviceDataService,274.5
41417209,11:00:00 AM,1370,21,1829804.38,0.024131944,DeviceDataService,276.26
41417402,12:00:00 PM,1370,21,1830068.75,0.024131944,DeviceDataService,264.37
41417595,1:00:00 PM,1370,21,1830321.12,0.024131944,DeviceDataService,252.37
41417788,2:00:00 PM,1370,21,1830592,0.024131944,DeviceDataService,270.88
41417981,3:00:00 PM,1370,21,1830860,0.024131944,DeviceDataService,268
41418174,4:00:00 PM,1370,21,1831143.12,0.024131944,DeviceDataService,283.12
41418367,5:00:00 PM,1370,21,1831407.25,0.024131944,DeviceDataService,264.13
41418560,6:00:00 PM,1370,21,1831648.38,0.024131944,DeviceDataService,241.13
41418753,7:00:00 PM,1370,21,1831869.62,0.024131944,DeviceDataService,221.24
41418946,8:00:00 PM,1370,21,1832069.25,0.024131944,DeviceDataService,199.63
41419139,9:00:00 PM,1370,21,1832260,0.024131944,DeviceDataService,190.75
41419332,10:00:00 PM,1370,21,1832440.88,0.024131944,DeviceDataService,180.88
41419525,11:00:00 PM,1370,21,1832588.75,0.024131944,DeviceDataService,147.87
41419761,12:00:00 AM,1370,21,1832692,0.024200231,DeviceDataService,103.25
41419954,1:00:00 AM,1370,21,1832792.5,0.024200231,DeviceDataService,100.5
41420147,2:00:00 AM,1370,21,1832891.12,0.024200231,DeviceDataService,98.62
41420340,3:00:00 AM,1370,21,1832989.62,0.024200231,DeviceDataService,98.5
41420533,4:00:00 AM,1370,21,1833088.38,0.024200231,DeviceDataService,98.76
41420726,5:00:00 AM,1370,21,1833195.62,0.024200231,DeviceDataService,107.24
41420919,6:00:00 AM,1370,21,1833322.38,0.024200231,DeviceDataService,126.76
41421112,7:00:00 AM,1370,21,1833465.62,0.024200231,DeviceDataService,143.24
41421305,8:00:00 AM,1370,21,1833650.38,0.024200231,DeviceDataService,184.76
41421498,9:00:00 AM,1370,21,1833904.75,0.024200231,DeviceDataService,254.37
41421691,10:00:00 AM,1370,21,1834194.88,0.024200231,DeviceDataService,290.13
41421884,11:00:00 AM,1370,21,1834468.88,0.024200231,DeviceDataService,274
41422077,12:00:00 PM,1370,21,1834718.88,0.024200231,DeviceDataService,250
41422270,1:00:00 PM,1370,21,1834963.62,0.024200231,DeviceDataService,244.74
41422463,2:00:00 PM,1370,21,1835230.5,0.024200231,DeviceDataService,266.88
41422656,3:00:00 PM,1370,21,1835499.62,0.024200231,DeviceDataService,269.12
41422849,4:00:00 PM,1370,21,1835778,0.024200231,DeviceDataService,278.38
41423042,5:00:00 PM,1370,21,1836041.25,0.024200231,DeviceDataService,263.25
41423235,6:00:00 PM,1370,21,1836276.75,0.024200231,DeviceDataService,235.5
41423428,7:00:00 PM,1370,21,1836495.25,0.024200231,DeviceDataService,218.5
41423621,8:00:00 PM,1370,21,1836694.38,0.024200231,DeviceDataService,199.13
41423814,9:00:00 PM,1370,21,1836882.38,0.024200231,DeviceDataService,188
41424007,10:00:00 PM,1370,21,1837062.38,0.024200231,DeviceDataService,180
41424200,11:00:00 PM,1370,21,1837213.12,0.024200231,DeviceDataService,150.74
41424365,12:00:00 AM,1370,21,1837314.38,0.024268519,DeviceDataService,101.26
41424558,1:00:00 AM,1370,21,1837415.5,0.024268519,DeviceDataService,101.12
41424751,2:00:00 AM,1370,21,1837515.25,0.024268519,DeviceDataService,99.75
41424944,3:00:00 AM,1370,21,1837610.38,0.024268519,DeviceDataService,95.13
41425137,4:00:00 AM,1370,21,1837706.38,0.024268519,DeviceDataService,96
41425330,5:00:00 AM,1370,21,1837812.75,0.024268519,DeviceDataService,106.37
41425523,6:00:00 AM,1370,21,1837930,0.024268519,DeviceDataService,117.25
41425716,7:00:00 AM,1370,21,1838075.62,0.024268519,DeviceDataService,145.62
41425909,8:00:00 AM,1370,21,1838258,0.024268519,DeviceDataService,182.38
41426102,9:00:00 AM,1370,21,1838506.75,0.024268519,DeviceDataService,248.75
41426295,10:00:00 AM,1370,21,1838787.62,0.024268519,DeviceDataService,280.87
41426488,11:00:00 AM,1370,21,1839055.25,0.024268519,DeviceDataService,267.63
41426681,12:00:00 PM,1370,21,1839302.38,0.024268519,DeviceDataService,247.13
41426874,1:00:00 PM,1370,21,1839550.5,0.024268519,DeviceDataService,248.12
41427067,2:00:00 PM,1370,21,1839817.25,0.024268519,DeviceDataService,266.75
41427260,3:00:00 PM,1370,21,1840086,0.024268519,DeviceDataService,268.75
41427453,4:00:00 PM,1370,21,1840372.75,0.024268519,DeviceDataService,286.75
41427646,5:00:00 PM,1370,21,1840634.75,0.024268519,DeviceDataService,262
41427839,6:00:00 PM,1370,21,1840878,0.024268519,DeviceDataService,243.25
41428032,7:00:00 PM,1370,21,1841095.5,0.024268519,DeviceDataService,217.5
41428225,8:00:00 PM,1370,21,1841293.62,0.024268519,DeviceDataService,198.12
41428418,9:00:00 PM,1370,21,1841484.75,0.024268519,DeviceDataService,191.13
41428611,10:00:00 PM,1370,21,1841671.5,0.024268519,DeviceDataService,186.75
41428804,11:00:00 PM,1370,21,1841829.62,0.024268519,DeviceDataService,158.12
41428994,12:00:00 AM,1370,21,1841934.38,0.024372685,DeviceDataService,104.76
41429187,1:00:00 AM,1370,21,1842039.12,0.024372685,DeviceDataService,104.74
41429380,2:00:00 AM,1370,21,1842144.38,0.024372685,DeviceDataService,105.26
41429573,3:00:00 AM,1370,21,1842244.88,0.024372685,DeviceDataService,100.5
41429766,4:00:00 AM,1370,21,1842346,0.024372685,DeviceDataService,101.12
41429959,5:00:00 AM,1370,21,1842460,0.024372685,DeviceDataService,114
41430152,6:00:00 AM,1370,21,1842586,0.024372685,DeviceDataService,126
41430345,7:00:00 AM,1370,21,1842734.38,0.024372685,DeviceDataService,148.38
41430538,8:00:00 AM,1370,21,1842927.25,0.024372685,DeviceDataService,192.87
41430731,9:00:00 AM,1370,21,1843182.38,0.024372685,DeviceDataService,255.13
41430924,10:00:00 AM,1370,21,1843475.25,0.024372685,DeviceDataService,292.87
41431117,11:00:00 AM,1370,21,1843754.75,0.024372685,DeviceDataService,279.5
41431310,12:00:00 PM,1370,21,1844011.25,0.024372685,DeviceDataService,256.5
41431503,1:00:00 PM,1370,21,1844263.88,0.024372685,DeviceDataService,252.63
41431696,2:00:00 PM,1370,21,1844540,0.024372685,DeviceDataService,276.12
41431889,3:00:00 PM,1370,21,1844824.88,0.024372685,DeviceDataService,284.88
41432082,4:00:00 PM,1370,21,1845112.5,0.024372685,DeviceDataService,287.62
41432275,5:00:00 PM,1370,21,1845376.75,0.024372685,DeviceDataService,264.25
41432468,6:00:00 PM,1370,21,1845618.38,0.024372685,DeviceDataService,241.63
41432661,7:00:00 PM,1370,21,1845842,0.024372685,DeviceDataService,223.62
41432854,8:00:00 PM,1370,21,1846048,0.024372685,DeviceDataService,206
41433047,9:00:00 PM,1370,21,1846241.12,0.024372685,DeviceDataService,193.12
41433240,10:00:00 PM,1370,21,1846424.88,0.024372685,DeviceDataService,183.76
41433433,11:00:00 PM,1370,21,1846584.5,0.024372685,DeviceDataService,159.62
41433638,12:00:00 AM,1370,21,1846694.75,0.024445602,DeviceDataService,110.25
41433831,1:00:00 AM,1370,21,1846802.38,0.024445602,DeviceDataService,107.63
41434024,2:00:00 AM,1370,21,1846902.75,0.024445602,DeviceDataService,100.37
41434217,3:00:00 AM,1370,21,1847003.12,0.024445602,DeviceDataService,100.37
41434410,4:00:00 AM,1370,21,1847107.62,0.024445602,DeviceDataService,104.5
41434603,5:00:00 AM,1370,21,1847218.88,0.024445602,DeviceDataService,111.26
41434796,6:00:00 AM,1370,21,1847345.12,0.024445602,DeviceDataService,126.24
41434989,7:00:00 AM,1370,21,1847495.88,0.024445602,DeviceDataService,150.76
41435182,8:00:00 AM,1370,21,1847674.75,0.024445602,DeviceDataService,178.87
41435375,9:00:00 AM,1370,21,1847923.25,0.024445602,DeviceDataService,248.5
41435568,10:00:00 AM,1370,21,1848206,0.024445602,DeviceDataService,282.75
41435761,11:00:00 AM,1370,21,1848478.88,0.024445602,DeviceDataService,272.88
41435954,12:00:00 PM,1370,21,1848732.38,0.024445602,DeviceDataService,253.5
41436147,1:00:00 PM,1370,21,1848985.25,0.024445602,DeviceDataService,252.87
41436340,2:00:00 PM,1370,21,1849251.62,0.024445602,DeviceDataService,266.37
41436533,3:00:00 PM,1370,21,1849521.12,0.024445602,DeviceDataService,269.5
41436726,4:00:00 PM,1370,21,1849790.5,0.024445602,DeviceDataService,269.38
41436919,5:00:00 PM,1370,21,1850042,0.024445602,DeviceDataService,251.5
41437112,6:00:00 PM,1370,21,1850269.62,0.024445602,DeviceDataService,227.62
41437305,7:00:00 PM,1370,21,1850472.88,0.024445602,DeviceDataService,203.26
41437498,8:00:00 PM,1370,21,1850658.88,0.024445602,DeviceDataService,186
